,y,y1,y2,x1,x2,x3,x4,x5,r
Alcampo SAU,3349271000,1931189659,1418081341,2546326000,363150000,55279000,2629000,-7974000,0.5766
Condis Supermercats SA,1042743107,699263527.6,343479579.4,798279183,115451211,72992333,21940334,550484,0.6706
Bon preu SA,1635793822,912445793.9,723348028.1,1234740477,177719323,141344781,47041406,-11539550,0.5578
Centros Comerciales Carrefour SA,8491008000,3286869197,5204138803,6631676000,821865000,732131000,118880000,0,0.3871
Mercadona SA,24649629000,12201566355,12448062645,18044382000,3227106000,1780938000,614919000,79179000,0.495
Lidl Supermercados SAU,443165000,213738479.5,229426520.5,3211903000,363438000,511617000,136876000,6140000,0.4823
Distribuidora Internacional De Alimentacion Sa,2259039000,1211748520,1047290480,1967149000,15590000,267863000,21036000,0,0.5364
Consum S Coop V,3090361646,1616259141,1474102505,2142742186,450435901,302273496,107674863,1013347,0.523
AhorraMas SA,1805559204,1041988217,763570987.4,1239785770,279880472,103162195,47012046,1113421,0.5771
Dinosol Supermercados SL,1186970000,549685807,637284193,879002000,154433000,98875000,33259000,6835000,0.4631
Vego Supermercados SA,1014980000,680239596,334740404,768897000,120150000,76449000,16979000,-253000,0.6702
World Duty Free Group SA,206050000,64390625,141659375,73446000,68823000,395074000,33824000,-46319000,0.3125
Grup Supeco Maxor SL,832256507,440180466.6,392076040.4,622609191,85851851,82716233,20781416,55610,0.5289
Supercor SA,772655737,277924268.6,494731468.4,551547680,94110023,75650865,23176030,640797,0.3597
Grupo el Arbol Distribucion y Supermercados SA,782171000,383420224.2,398750775.8,562223000,134785000,84847000,30805000,0,0.4902
Alimerka SA,716288000,463724851.2,252563148.8,489918000,133802000,55992000,16588000,-547000,0.6474
Distribuciones Froiz SA,735491368,367304389.2,368186978.8,533266954,120816025,45509783,15248171,2416736,0.4994
Semark AC Group SA,678700478,386248442,292452036,497085340,94853023,55591760,12749963,153648,0.5691
Supersol Spain SL,497289000,168083682,329205318,353020000,94008000,62241000,6337000,13465000,0.338
Supermercados Champion SA,511450710,282729952.5,228720757.5,325135051,71827154,70957507,14482860,-152483,0.5528
Distribucion de Supermercados SL,541972211,196031348.7,345940862.3,358259394,78973482,64798145,11408539,934249,0.3617
Juan Fornes Fornes SA,308814947,94806188.73,214008758.3,214947966,47595067,33899880,9852786,-65357,0.307
Venta Peio SL,86892158,53829691.88,33062466.12,65661515,10929856,8359259,1900564,84215,0.6195
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,Formula,,,,,,,
y,Operating Income,y1+y2,,,,,,,
y1,Own brand ,y*r,,,,,,,
y2,Generic brands,y*(1-r),,,,,,,
x1,Procurement,,,,,,,,
x2,Personnel expenses,,,,,,,,
x3,Other operating expenses,,,,,,,,
x4,Amortization of fixed assets,,,,,,,,
x5,Financial result,,,,,,,,
r,"Random list with mean=1, sd=0.35",normal distribution,,,,,,,
